step,wallclock_s,n_sched,lambda_disc_active,gamma_disc,gamma_disc_active,target_rhs,sigma,sigma_pi,L_R,L_A,L_C,L_V_total,L_in_task,L_anorm,L_smooth,L_satex,L_pretanh,L_out,L_pi_total,grad_norm_VS,L_lg_raw,lg_min,lg_median,lg_degen_frac,grad_norm_pi,grad_leak_VS_from_Lpi,proj_mag_ema,sigma_pin_counter,abs_action_mean,abs_action_max,satfrac_a_phi
4200,130.22079205513,8,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.011504555121064186,0.0,0.0,0.011504555121064186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07942413538694382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4400,133.74269247055054,8,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.01101286243647337,0.0,0.0,0.01101286243647337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04931073635816574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4600,158.81187343597412,9,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.010818412527441978,0.0,0.0,0.010818412527441978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07472113519906998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4800,162.31945323944092,9,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.01058207917958498,0.0,0.0,0.01058207917958498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059193890541791916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000,165.82929944992065,9,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.0104747973382473,0.0,0.0,0.0104747973382473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14056798815727234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5200,171.77866792678833,10,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.009876856580376625,0.0,0.0,0.009876856580376625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0804491862654686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5400,175.2115490436554,10,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.00901106745004654,0.0,0.0,0.00901106745004654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1362234652042389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5600,181.11430096626282,11,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.009649294428527355,0.0,0.0,0.009649294428527355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14160391688346863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5800,184.62572288513184,11,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.009298326447606087,0.0,0.0,0.009298326447606087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0397939570248127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000,188.14012360572815,11,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.008560620248317719,0.0,0.0,0.008560620248317719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04147616773843765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
