step,wallclock_s,schedule_step,lambda_disc_active,gamma_disc_active,target_rhs_active,sigma,sigma_pi,rho_unsafe_v,rho_unsafe_pi,collect_proj_mag,collect_infeasible,L_R,L_V_total,value_target_unsafe_frac,rho_unsafe_label,label_mean,tail_push_mean,tail_exceed_frac,loss_pi_b,recovery_residual_norm,L_feas_raw,L_feas_weighted,gate_active_frac,gate_n_constructed,gate_n_kept,gate_doomed_frac,lg_norm_gate_mean,lg_norm_gate_p50,injected_fraction_actual,injected_target_mean,injected_target_unsafe_frac,L_sobolev_raw,L_sobolev_weighted,sob_grad_label_v_frac,sob_grad_label_v_mean,sob_dhdv_pred_mean,sob_v_spline_mean,sob_gate_mean,sob_gate_frac_active,sob_gate_dhdv_pred,L_in_task,L_anorm,L_smooth,L_satex,L_pretanh,L_out,L_pi_total,grad_norm_VS,grad_norm_pi,grad_leak_VS_from_Lpi,abs_action_mean,abs_action_max,satfrac_a_phi,L_rate_raw,L_rate_weighted,mean_abs_du,L_u_raw,L_u_weighted,L_deficit,mean_deficit_active,deficit_active_frac,deficit_clip_frac,mean_abs_deficit_feature,L_friction,proj_mag_bptt,probe_h_min,probe_h_max,probe_h_mean
2200,209.80655694007874,200,1.0258658877510114,0.95,0.0,0.8088993044410208,0.0,0.31,0.3,0.0,0.0,0.007985880598425865,0.007985880598425865,0.029134114583333332,0.029134114583333332,-0.7419490814208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4954.8427734375,351.27374267578125,1.3206708431243896,0.0,0.3274059593677521,0.011633066460490227,4972.869140625,0.09049092233181,129.73110961914062,0.0,4.795287132263184,19.6200008392334,0.7472900748252869,12.913321495056152,0.0,1.544002890586853,340.4785461425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8696387410163879,-0.9234990477561951,0.7912894487380981,-0.6140967607498169
2400,334.19651436805725,400,1.0258658877510114,0.95,0.0,0.7592816222580212,0.0,0.39,0.24,0.0,0.0,0.008601430803537369,0.008601430803537369,0.030598958333333332,0.030598958333333332,-0.7317755818367004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4412.91845703125,321.4239807128906,1.872408151626587,0.0,0.3768380284309387,0.0118025541305542,4429.55712890625,0.08904978632926941,102.0606460571289,0.0,4.587265968322754,19.6200008392334,0.6631917953491211,12.011055946350098,0.0,1.582227110862732,313.2054748535156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7783550024032593,-0.9086488485336304,0.780396580696106,-0.5854247808456421
2600,458.3922939300537,600,1.0258658877510114,0.95,0.0,0.7145016640878641,0.0,0.34,0.23214285714285715,0.0,0.0,0.008206630125641823,0.008206630125641823,0.031819661458333336,0.031819661458333336,-0.7193689147631327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3805.84130859375,288.2829284667969,2.2605063915252686,0.0,0.4542291462421417,0.00874231569468975,3820.9384765625,0.07280196994543076,258.39434814453125,0.0,4.305385589599609,19.6200008392334,0.5983235836029053,9.786043167114258,0.0,1.4302691221237183,282.5152893066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6265712976455688,-0.9279035329818726,0.6402792930603027,-0.6036869883537292
2800,582.5637278556824,800,1.0258658877510114,0.95,0.0,0.6740877518392973,0.0,0.3069306930693069,0.22641509433962265,0.0,0.0,0.00888183992356062,0.00888183992356062,0.034261067708333336,0.034261067708333336,-0.7157338460286459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3181.232421875,266.3152770996094,2.35290789604187,0.0,0.45511388778686523,0.01563766598701477,3195.2431640625,0.08107008785009384,97.07180786132812,0.0,4.1037373542785645,19.6200008392334,0.5377441644668579,10.936565399169922,0.0,1.5167967081069946,260.0626220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70796138048172,-0.9077339172363281,0.6206890344619751,-0.5814874172210693
3000,706.7946555614471,1000,1.0258658877510114,0.95,0.0,0.7183641960349657,0.0,0.297029702970297,0.16847826086956522,0.0,0.0,0.008643876761198044,0.008643876761198044,0.033610026041666664,0.033610026041666664,-0.7129261295000712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2205.5654296875,225.7953643798828,2.16034197807312,0.0,0.32009178400039673,0.01530686765909195,2217.39599609375,0.07652013003826141,88.57234191894531,0.0,3.7344071865081787,19.6200008392334,0.3990885615348816,8.415102005004883,0.0,1.2841435670852661,222.24159240722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5623294115066528,-0.9470454454421997,0.7110371589660645,-0.5996569395065308
3200,848.1227686405182,1200,1.0258658877510114,0.95,0.0,0.6775736869215565,0.0,0.27450980392156865,0.2,0.0,0.0,0.008699818514287472,0.008699818514287472,0.031005859375,0.031005859375,-0.7134550015131632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.1873779296875,183.2469482421875,1.724643588066101,0.0,0.16200308501720428,0.019143279641866684,1022.68994140625,0.07381059229373932,68.51464080810547,0.0,3.3313398361206055,19.6200008392334,0.25694987177848816,8.236490249633789,0.0,1.2152961492538452,179.97152709960938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5583769083023071,-0.9603108167648315,0.8041783571243286,-0.5832496285438538
3400,976.3085603713989,1400,1.0258658877510114,0.95,0.0,0.6407602524467046,0.0,0.1504424778761062,0.22274881516587677,0.0,0.0,0.008594981394708157,0.008594981394708157,0.034098307291666664,0.034098307291666664,-0.7082232038180033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.92391967773438,137.7581787109375,1.496975064277649,0.0,0.011700855568051338,0.024306204169988632,115.98052215576172,0.07069206237792969,66.33251953125,0.0,2.9081430435180664,19.6200008392334,0.1232503354549408,7.413890838623047,0.0,1.0813519954681396,136.3000030517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5196331143379211,-0.949579119682312,0.7655211687088013,-0.578881561756134
3600,1104.7354760169983,1600,1.0258658877510114,0.95,0.0,0.6075361278331509,0.0,0.13970588235294118,0.2169811320754717,0.0,0.0,0.008787454105913639,0.008787454105913639,0.035319010416666664,0.035319010416666664,-0.7092985312143961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.48548889160156,142.96127319335938,1.6252548694610596,0.0,0.018944034352898598,0.025117268785834312,132.8225555419922,0.09436403214931488,46.127769470214844,0.0,2.9322338104248047,19.6200008392334,0.16212566196918488,8.987198829650879,0.0,1.1395145654678345,141.20892333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6575545072555542,-0.9375413656234741,0.7854217886924744,-0.5961076617240906
3800,1232.819367647171,1800,1.0258658877510114,0.95,0.0,0.5775513553694187,0.0,0.1987179487179487,0.1542056074766355,0.0,0.0,0.008762745186686516,0.008762745186686516,0.034586588541666664,0.034586588541666664,-0.7098588347434998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.64151000976562,146.93386840820312,1.7873395681381226,0.0,0.023499581962823868,0.025502635166049004,141.19808959960938,0.10829444974660873,47.5715217590332,0.0,2.9432754516601562,19.6200008392334,0.18378907442092896,10.22321605682373,0.0,1.192399024963379,144.31185913085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7283374071121216,-0.9205745458602905,0.7436062097549438,-0.6069662570953369
4000,1360.6786167621613,2000,1.0258658877510114,0.95,0.0,0.5504900982209003,0.0,0.11834319526627218,0.17289719626168223,0.0,0.0,0.008776928298175335,0.008776928298175335,0.04052734375,0.04052734375,-0.7008483012517294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.90304565429688,150.24664306640625,1.8323147296905518,0.0,0.02435210719704628,0.02850612998008728,150.63150024414062,0.08455543220043182,56.04376220703125,0.0,2.983003854751587,19.6200008392334,0.19871419668197632,11.168795585632324,0.0,1.2779266834259033,148.04669189453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7638742327690125,-0.9120899438858032,0.7497735023498535,-0.5892460942268372
